text,category
The light pole near Market Street near the market is damaged,streetlight
Road damage near Lake View Road near the hospital gate has not been fixed since yesterday,pothole
No lighting on Church Street outside the apartment complex makes it unsafe at night,streetlight
Road damage near 5th Cross near the market has not been fixed for the past week,pothole
Streetlight has been off on 5th Cross beside the playground for the past week,streetlight
Frequent power outages on 5th Cross beside the playground,electricity
Drain is blocked on Station Road in front of the temple since yesterday,sewage
Drain is blocked on Lake View Road next to the school for 2 days,sewage
A deep pothole has formed on College Road outside the community hall and several people have complained,pothole
General maintenance required on Nehru Street near the hospital gate,other
"Waste dump near Main Street near the railway crossing is overflowing, kids play nearby so it's risky",garbage
There's a major water leak on MG Road near the bus stop for almost a week now,water
Drain is blocked on Market Street near the hospital gate for over 3 days,sewage
Uncollected garbage on Gandhi Road near the market is causing bad smell,garbage
"There's a large pothole on Gandhi Road near the bus stop, for the past week",pothole
Water supply has been irregular on Nehru Street near the railway crossing,water
Manhole is open and overflowing near Hill View Road near the market,sewage
A deep pothole has formed on Park Avenue near the park entrance and residents are worried,pothole
Garbage has not been collected on Hill View Road near the market for over 3 days,garbage
Water pipe burst on Nehru Street in front of the temple,water
A deep pothole has formed on College Road outside the apartment complex and residents are worried,pothole
Streetlight has been off on Lake View Road near the park entrance since last Monday,streetlight
Water supply has been irregular on Gandhi Road next to the school,water
No water supply on Nehru Street beside the playground since last Monday,water
Streetlight has been off on Anna Nagar near the hospital gate for over 3 days,streetlight
"There's a large pothole on Hill View Road outside the community hall, for the past week",pothole
It's completely dark on Temple Street at night near the market,streetlight
There's an issue near Station Road outside the community hall that needs attention,other
The road on Gandhi Road is full of potholes in front of the temple,pothole
Streetlight not working on Lake View Road near the hospital gate for almost a week now,electricity
"Drainage water is flooding Nehru Street next to the school, it's getting dangerous",sewage
"Electric pole is damaged on Lake View Road near the railway crossing, kids play nearby so it's risky",electricity
The light pole near Hill View Road beside the playground is damaged,streetlight
General maintenance required on College Road near the park entrance,other
"Waste dump near Main Street near the bus stop is overflowing, residents are worried",garbage
Streetlight has been off on Lake View Road outside the community hall for 4 days straight,streetlight
Something needs to be fixed on Anna Nagar near the market,other
Frequent power outages on Main Street beside the playground,electricity
Something needs to be fixed on Temple Street beside the playground,other
Frequent power outages on Lake View Road near the hospital gate,electricity
Sewage smell is unbearable near Market Street in front of the temple since last Monday,sewage
"Waste dump near 5th Cross near the bus stop is overflowing, it's a serious hazard",garbage
Sewage smell is unbearable near Nehru Street near the market since yesterday,sewage
The light pole near College Road near the railway crossing is damaged,streetlight
General maintenance required on Gandhi Road near the hospital gate,other
Streetlight not working on Lake View Road next to the school for 4 days straight,electricity
No lighting on Lake View Road near the hospital gate makes it unsafe at night,streetlight
The light pole near MG Road outside the community hall is damaged,streetlight
"Sewage is overflowing on Main Street near the hospital gate, vehicles are struggling to pass",sewage
Drain is blocked on MG Road next to the school since last Monday,sewage
"Transformer issue near Temple Street outside the apartment complex, it needs urgent attention",electricity
Multiple streetlights are not working on 5th Cross next to the school,streetlight
Sewage smell is unbearable near Lake View Road near the market since last Monday,sewage
A civic issue has been reported on Gandhi Road in front of the temple,other
"Electric pole is damaged on Anna Nagar outside the apartment complex, it needs urgent attention",electricity
There's a major water leak on Temple Street outside the apartment complex since last Monday,water
Frequent power outages on Market Street near the bus stop,electricity
There's a major water leak on MG Road near the park entrance for the past week,water
A deep pothole has formed on Church Street beside the playground and several people have complained,pothole
A deep pothole has formed on Market Street beside the playground and kids play nearby so it's risky,pothole
No water supply on College Road outside the apartment complex for 2 days,water
"Sewage is overflowing on River Road near the railway crossing, it's a serious hazard",sewage
"Sewage is overflowing on Park Avenue near the railway crossing, it needs urgent attention",sewage
Streetlight not working on Hill View Road near the railway crossing for the past week,electricity
General maintenance required on Park Avenue in front of the temple,other
No lighting on Anna Nagar near the railway crossing makes it unsafe at night,streetlight
Sewage smell is unbearable near Market Street next to the school since last Monday,sewage
No lighting on River Road beside the playground makes it unsafe at night,streetlight
The light pole near Gandhi Road near the market is damaged,streetlight
"Electric pole is damaged on Station Road outside the apartment complex, vehicles are struggling to pass",electricity
A civic issue has been reported on River Road near the hospital gate,other
Residents flagged a concern near Lake View Road beside the playground,other
"Transformer issue near 5th Cross outside the apartment complex, vehicles are struggling to pass",electricity
Residents on MG Road have had no water since last Monday,water
General maintenance required on College Road in front of the temple,other
"Waste dump near Anna Nagar near the hospital gate is overflowing, residents are worried",garbage
Streetlight not working on Anna Nagar outside the community hall for almost a week now,electricity
No lighting on Lake View Road in front of the temple makes it unsafe at night,streetlight
Garbage has not been collected on Hill View Road outside the community hall since yesterday,garbage
Residents flagged a concern near Park Avenue near the bus stop,other
Water supply has been irregular on Temple Street beside the playground,water
"There's a large pothole on Main Street outside the apartment complex, for 4 days straight",pothole
General maintenance required on Market Street outside the community hall,other
Uncollected garbage on Gandhi Road near the park entrance is causing bad smell,garbage
Sewage smell is unbearable near Gandhi Road near the market for 4 days straight,sewage
"Huge crater on Main Street in front of the temple, it's a serious hazard",pothole
"Huge crater on Gandhi Road near the park entrance, kids play nearby so it's risky",pothole
Uncollected garbage on Gandhi Road beside the playground is causing bad smell,garbage
Streetlight has been off on Temple Street in front of the temple for almost a week now,streetlight
A civic issue has been reported on 5th Cross beside the playground,other
Residents on River Road have had no water for the past week,water
A civic issue has been reported on Anna Nagar outside the community hall,other
The road on Hill View Road is full of potholes near the bus stop,pothole
A deep pothole has formed on MG Road beside the playground and it's getting dangerous,pothole
Residents flagged a concern near Market Street near the park entrance,other
Multiple streetlights are not working on Temple Street outside the community hall,streetlight
There's an issue near Nehru Street outside the community hall that needs attention,other
Multiple streetlights are not working on Nehru Street in front of the temple,streetlight
"Sewage is overflowing on Temple Street outside the apartment complex, it's getting dangerous",sewage
Uncollected garbage on Market Street near the railway crossing is causing bad smell,garbage
Frequent power outages on Station Road near the railway crossing,electricity
Trash is piling up on Market Street outside the community hall,garbage
Trash is piling up on Temple Street near the railway crossing,garbage
A deep pothole has formed on MG Road near the park entrance and several people have complained,pothole
Manhole is open and overflowing near Market Street beside the playground,sewage
Water supply has been irregular on Main Street near the park entrance,water
A deep pothole has formed on Main Street near the market and several people have complained,pothole
Streetlight has been off on Anna Nagar beside the playground for 2 days,streetlight
